"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belarus","BLR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1248977","","","","","1186282","","","","","1123586","","","","","1106982","","","","","1090378","","","","","1082905","","","","","1067090","","","","1054604",
"Belize","BLZ","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30404","","","","","33446","","","","","36488","","","","","41438","","","","","46390","","","","","54615","","","","","62043","","","","68706",
"Bermuda","BMU","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15683","","","","","16676","","","","","17684","","","","","18108","","","","","18547","","","","","19212","","","","","19739","","","","20171",
"Bolivia","BOL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73758","","","","","83598","","","","","92658","","","","","107745","","","","","122846","","","","","143008","","","","","164121","","","","183234",
"Brazil","BRA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","803218","","","","","732622","","","","","687362","","","","","641029","","","","","596859","","","","","646540","","","","","1048866","","","","1406299",
"Barbados","BRB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24024","","","","","26224","","","","","28424","","","","","30624","","","","","32825","","","","","34475","","","","","34869","","","","35187",
"Brunei Darussalam","BRN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73200","","","","","84748","","","","","96296","","","","","98441","","","","","100587","","","","","102733","","","","","111959","","","","119933",
"Bhutan","BTN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23807","","","","","27972","","","","","32137","","","","","40279","","","","","48420","","","","","51106","","","","","53612","","","","55705",
"Botswana","BWA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27510","","","","","40168","","","","","74934","","","","","84661","","","","","94863","","","","","103053","","","","","110268","","","","116402",
"Central African Republic","CAF","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67234","","","","","99712","","","","","123529","","","","","96409","","","","","94685","","","","","81568","","","","","88546","","","","94556",
"Canada","CAN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4251056","","","","","4853738","","","","","5525404","","","","","6086976","","","","","7035001","","","","","8049874","","","","","8332892","","","","8805839",
"Central Europe and the Baltics","CEB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4146658","","","","","4028968","","","","","3746349","","","","","3701484","","","","","3668122","","","","","3756017","","","","","4113048","","","","6174999",
"Switzerland","CHE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1252320","","","","","1363586","","","","","1484514","","","","","1740312","","","","","2053953","","","","","2385713","","","","","2610189","","","","2773840",
"Channel Islands","CHI","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61660","","","","","60519","","","","","64301","","","","","70941","","","","","77581","","","","","82307","","","","","84087","","","","85539",
"Chile","CHL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100133","","","","","125754","","","","","166608","","","","","241522","","","","","361531","","","","","598039","","","","","1476240","","","","1538324",
"China","CHN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518395","","","","","610608","","","","","720915","","","","","853360","","","","","1010008","","","","","1196007","","","","","1415116","","","","1638718",
"Cote d'Ivoire","CIV","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1822374","","","","","1992981","","","","","2157339","","","","","2308068","","","","","2458796","","","","","2609525","","","","","2760255","","","","2880839",
"Cameroon","CMR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265967","","","","","244791","","","","","227242","","","","","265503","","","","","291474","","","","","508346","","","","","579209","","","","642948",
"Congo, Dem. Rep.","COD","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","754194","","","","","1816963","","","","","744387","","","","","623009","","","","","589882","","","","","810018","","","","","952871","","","","1085090",
"Congo, Rep.","COG","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129391","","","","","191635","","","","","305880","","","","","318724","","","","","425173","","","","","390142","","","","","387606","","","","385589",
"Colombia","COL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100672","","","","","109550","","","","","109863","","","","","110495","","","","","126424","","","","","145504","","","","","1932807","","","","3063518",
"Comoros","COM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14079","","","","","13939","","","","","13799","","","","","13209","","","","","12618","","","","","12555","","","","","12496","","","","12449",
"Cabo Verde","CPV","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8931","","","","","9979","","","","","11027","","","","","12700","","","","","14373","","","","","14924","","","","","15788","","","","16515",
"Costa Rica","CRI","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","417628","","","","","364287","","","","","310946","","","","","358398","","","","","405779","","","","","411697","","","","","520729","","","","628404",
"Caribbean small states","CSS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185423","","","","","207743","","","","","232903","","","","","264279","","","","","292447","","","","","314125","","","","","383998","","","","457843",
"Cuba","CUB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34555","","","","","26187","","","","","18545","","","","","11693","","","","","7373","","","","","4649","","","","","3024","","","","2144",
"Curacao","CUW","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43150","","","","","43150","","","","","43150","","","","","43150","","","","","34630","","","","","37611","","","","","57210","","","","80020",
"Cayman Islands","CYM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9315","","","","","12666","","","","","19176","","","","","20679","","","","","24062","","","","","26193","","","","","29242","","","","31935",
"Cyprus","CYP","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43805","","","","","61941","","","","","80076","","","","","122849","","","","","188472","","","","","176693","","","","","190366","","","","202062",
"Czechia","CZE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","442428","","","","","531039","","","","","639018","","","","","670689","","","","","692197","","","","","688047","","","","","680221","","","","1025199",
"Germany","DEU","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6960112","","","","","9637208","","","","","10397459","","","","","11210590","","","","","11665950","","","","","12646813","","","","","15021300","","","","16750084",
"Djibouti","DJI","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122221","","","","","99774","","","","","100507","","","","","92110","","","","","102307","","","","","112351","","","","","119738","","","","125996",
"Dominica","DMA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2519","","","","","3121","","","","","3723","","","","","4744","","","","","8110","","","","","8093","","","","","8284","","","","8440",
"Denmark","DNK","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235918","","","","","298278","","","","","372128","","","","","423167","","","","","509751","","","","","616741","","","","","718856","","","","847475",
"Dominican Republic","DOM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","291151","","","","","323381","","","","","355611","","","","","375417","","","","","395479","","","","","549289","","","","","603794","","","","738667",
"Algeria","DZA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","273954","","","","","262032","","","","","250110","","","","","197728","","","","","217268","","","","","239473","","","","","250378","","","","259458",
"East Asia & Pacific (excluding high income)","EAP","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2460797","","","","","2893950","","","","","4021042","","","","","5418652","","","","","7444435","","","","","8325687","","","","","9095373","","","","9848233",
"Early-demographic dividend","EAR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40983980","","","","","36804047","","","","","37230706","","","","","38794978","","","","","46794586","","","","","55103497","","","","","60477204","","","","67209411",
"East Asia & Pacific","EAS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11526866","","","","","13288855","","","","","15896946","","","","","18737245","","","","","23178469","","","","","27029138","","","","","30415227","","","","32481305",
"Europe & Central Asia (excluding high income)","ECA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18630950","","","","","17088148","","","","","15194971","","","","","13897321","","","","","12985189","","","","","15200001","","","","","18049954","","","","18911474",
"Europe & Central Asia","ECS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60102363","","","","","64003987","","","","","65764462","","","","","72070973","","","","","78412832","","","","","83850193","","","","","93940842","","","","105627719",
"Ecuador","ECU","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139204","","","","","145626","","","","","150585","","","","","144415","","","","","358874","","","","","332142","","","","","721560","","","","747749",
"Egypt, Arab Rep.","EGY","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144713","","","","","160802","","","","","179364","","","","","288944","","","","","323177","","","","","499292","","","","","602472","","","","1139820",
"Euro area","EMU","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21555197","","","","","25797144","","","","","28614504","","","","","34673187","","","","","39806839","","","","","42679152","","","","","49125951","","","","55786962",
"Eritrea","ERI","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11848","","","","","12400","","","","","12952","","","","","15905","","","","","15813","","","","","15941","","","","","13934","","","","12512",
"Spain","ESP","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","813588","","","","","1258176","","","","","2023886","","","","","4372449","","","","","6281193","","","","","5892847","","","","","7146130","","","","8870527",
"Estonia","EST","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","381997","","","","","315755","","","","","249512","","","","","233701","","","","","217890","","","","","194664","","","","","199277","","","","203046",
"Ethiopia","ETH","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","875325","","","","","478712","","","","","311441","","","","","170773","","","","","227078","","","","","797374","","","","","875170","","","","1168455",
"European Union","EUU","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24649984","","","","","29023930","","","","","31944954","","","","","38186192","","","","","43690985","","","","","47117669","","","","","54404693","","","","63315939",
"Fragile and conflict affected situations","FCS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17188414","","","","","16682778","","","","","14726062","","","","","14922689","","","","","16275051","","","","","19395720","","","","","20683346","","","","23213137",
"Finland","FIN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63255","","","","","99729","","","","","136203","","","","","192169","","","","","228481","","","","","314856","","","","","386052","","","","514432",
"Fiji","FJI","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13283","","","","","13001","","","","","12719","","","","","12434","","","","","13357","","","","","13751","","","","","14087","","","","14362",
"France","FRA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5890023","","","","","5936326","","","","","6141350","","","","","6839877","","","","","7322210","","","","","7978076","","","","","8610719","","","","9186757",
"Faroe Islands","FRO","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4285","","","","","2900","","","","","3593","","","","","4583","","","","","5096","","","","","5485","","","","","6812","","","","8101",
"Micronesia, Fed. Sts.","FSM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3685","","","","","3342","","","","","3116","","","","","2905","","","","","2806","","","","","2756","","","","","2832","","","","2894",
"Gabon","GAB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128188","","","","","171427","","","","","214431","","","","","233824","","","","","270829","","","","","378686","","","","","416651","","","","449746",
"United Kingdom","GBR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3664896","","","","","4173053","","","","","4747902","","","","","5989992","","","","","7713303","","","","","9071431","","","","","10520870","","","","11845479",
"Georgia","GEO","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304470","","","","","152235","","","","","76117","","","","","71296","","","","","73078","","","","","76685","","","","","79368","","","","81582",
"Ghana","GHA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164851","","","","","252879","","","","","191601","","","","","309932","","","","","337766","","","","","414744","","","","","476412","","","","532286",
"Gibraltar","GIB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8709","","","","","8381","","","","","8054","","","","","9211","","","","","10369","","","","","11065","","","","","11190","","","","11291",
"Guinea","GIN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403621","","","","","774505","","","","","560075","","","","","233419","","","","","178762","","","","","126657","","","","","121437","","","","117416",
"Gambia, The","GMB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118123","","","","","150890","","","","","182514","","","","","181839","","","","","185837","","","","","192540","","","","","215659","","","","236137",
"Guinea-Bissau","GNB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15368","","","","","27961","","","","","20450","","","","","20902","","","","","21391","","","","","22333","","","","","17945","","","","15064",
"Equatorial Guinea","GNQ","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2740","","","","","3629","","","","","4517","","","","","6588","","","","","8658","","","","","209611","","","","","230618","","","","248930",
"Greece","GRC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","618139","","","","","857850","","","","","1111665","","","","","1190707","","","","","1321149","","","","","1242924","","","","","1340456","","","","1423964",
"Grenada","GRD","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4263","","","","","5544","","","","","6825","","","","","6902","","","","","6980","","","","","7057","","","","","7213","","","","7340",
"Greenland","GRL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9282","","","","","7121","","","","","6601","","","","","6556","","","","","6091","","","","","6009","","","","","5899","","","","5812",
"Guatemala","GTM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264257","","","","","156188","","","","","48119","","","","","57214","","","","","66386","","","","","74852","","","","","84311","","","","92732",
"Guam","GUM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69755","","","","","71912","","","","","74070","","","","","74743","","","","","75416","","","","","76089","","","","","80472","","","","84159",
"Guyana","GUY","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4095","","","","","6352","","","","","8610","","","","","10868","","","","","8182","","","","","8661","","","","","31169","","","","54175",
"High income","HIC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88751490","","","","","102452836","","","","","115944305","","","","","133375877","","","","","155004464","","","","","174779812","","","","","189435824","","","","207141041",
"Hong Kong SAR, China","HKG","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2218473","","","","","2443798","","","","","2669122","","","","","2721235","","","","","2779950","","","","","2841113","","","","","2962492","","","","3063318",
"Honduras","HND","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270423","","","","","149442","","","","","28461","","","","","27934","","","","","27288","","","","","38330","","","","","39195","","","","39901",
"Heavily indebted poor countries (HIPC)","HPC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11737740","","","","","12176581","","","","","10524835","","","","","10522889","","","","","10669356","","","","","13030190","","","","","15573997","","","","18651850",
"Croatia","HRV","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","475438","","","","","674085","","","","","585298","","","","","579273","","","","","573248","","","","","561093","","","","","528056","","","","527831",
"Haiti","HTI","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19084","","","","","18129","","","","","17222","","","","","16360","","","","","17182","","","","","18047","","","","","18884","","","","19581",
"Hungary","HUN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","347510","","","","","322234","","","","","296957","","","","","366787","","","","","436616","","","","","475508","","","","","584567","","","","689565",
"IBRD only","IBD","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53218729","","","","","51034383","","","","","49824878","","","","","50967650","","","","","55510481","","","","","61032677","","","","","68054405","","","","76347174",
"IDA & IBRD total","IBT","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78606030","","","","","74556118","","","","","72157937","","","","","72737758","","","","","78990339","","","","","86513833","","","","","96657727","","","","109826151",
"IDA total","IDA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25387301","","","","","23521735","","","","","22333059","","","","","21770108","","","","","23479858","","","","","25481156","","","","","28603322","","","","33478977",
"IDA blend","IDB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11672680","","","","","9301389","","","","","10068170","","","","","9742883","","","","","10900143","","","","","11138578","","","","","11181130","","","","12318128",
