"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Indonesia","IDN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92058","","","","","114419","","","","","287645","","","","","87508","","","","","113288","","","","","192119","","","","","306702","","","","445726",
"IDA only","IDX","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13714621","","","","","14220346","","","","","12264889","","","","","12027225","","","","","12579715","","","","","14342578","","","","","17422192","","","","21160849",
"Isle of Man","IMN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34769","","","","","36886","","","","","39002","","","","","41475","","","","","43447","","","","","42238","","","","","43040","","","","43693",
"India","IND","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7212791","","","","","6836861","","","","","6391543","","","","","5954999","","","","","5601237","","","","","5252296","","","","","4929816","","","","4796255",
"Not classified","INX","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227783","","","","","247379","","","","","376321","","","","","620579","","","","","751381","","","","","802470","","","","","951686","","","","1216237",
"Iran, Islamic Rep.","IRN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4291601","","","","","2937668","","","","","2476469","","","","","2552206","","","","","2722397","","","","","2729939","","","","","2797235","","","","3840654",
"Iraq","IRQ","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83638","","","","","199460","","","","","210525","","","","","134863","","","","","120466","","","","","359352","","","","","365766","","","","370980",
"Iceland","ISL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9584","","","","","12738","","","","","15892","","","","","25492","","","","","35091","","","","","39072","","","","","65424","","","","98818",
"Israel","ISR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1622505","","","","","1781111","","","","","1838155","","","","","1881017","","","","","1953214","","","","","2019891","","","","","2068830","","","","2091569",
"Italy","ITA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1529367","","","","","1810642","","","","","2143259","","","","","3285903","","","","","4719233","","","","","5506199","","","","","6223851","","","","6553671",
"Jamaica","JAM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20475","","","","","22713","","","","","24952","","","","","24284","","","","","23677","","","","","23165","","","","","23629","","","","24007",
"Jordan","JOR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1131529","","","","","1511664","","","","","1834160","","","","","2229368","","","","","3723368","","","","","4386976","","","","","4940142","","","","5280168",
"Japan","JPN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050475","","","","","1331094","","","","","1651869","","","","","1976528","","","","","2161780","","","","","2577487","","","","","3289042","","","","3409529",
"Kazakhstan","KAZ","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3289058","","","","","2259955","","","","","1733374","","","","","1845637","","","","","1856870","","","","","1919920","","","","","1990268","","","","2089797",
"Kenya","KEN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","298089","","","","","618745","","","","","707852","","","","","773354","","","","","954925","","","","","1126886","","","","","1050147","","","","992536",
"Kyrgyz Republic","KGZ","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623083","","","","","518338","","","","","389824","","","","","309399","","","","","232065","","","","","204382","","","","","199011","","","","194816",
"Cambodia","KHM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38375","","","","","92230","","","","","146085","","","","","114096","","","","","82028","","","","","73962","","","","","79341","","","","83925",
"Kiribati","KIR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2162","","","","","2223","","","","","2283","","","","","2487","","","","","2868","","","","","2919","","","","","3126","","","","3302",
"St. Kitts and Nevis","KNA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3210","","","","","4248","","","","","5871","","","","","6682","","","","","7245","","","","","7443","","","","","7725","","","","7958",
"Korea, Rep.","KOR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18499","","","","","52719","","","","","144426","","","","","231744","","","","","566098","","","","","1312172","","","","","1723389","","","","1811507",
"Kuwait","KWT","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1056143","","","","","935152","","","","","1116932","","","","","1353949","","","","","1871827","","","","","2610785","","","","","3030731","","","","3323191",
"Latin America & Caribbean (excluding high income)","LAC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4764439","","","","","4200425","","","","","3996934","","","","","4277356","","","","","4955121","","","","","5438416","","","","","9465319","","","","12256402",
"Lao PDR","LAO","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22866","","","","","23526","","","","","21948","","","","","20371","","","","","32955","","","","","45538","","","","","48731","","","","51446",
"Lebanon","LBN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","424488","","","","","466437","","","","","514836","","","","","553850","","","","","625884","","","","","1763717","","","","","1586346","","","","1422583",
"Liberia","LBR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94964","","","","","208563","","","","","151868","","","","","87217","","","","","99165","","","","","112111","","","","","87947","","","","72423",
"Libya","LBY","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","457075","","","","","508041","","","","","567436","","","","","625412","","","","","687192","","","","","771146","","","","","826537","","","","897751",
"St. Lucia","LCA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5305","","","","","7155","","","","","9871","","","","","9839","","","","","9050","","","","","8673","","","","","8338","","","","8079",
"Latin America & Caribbean","LCN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7066694","","","","","6518104","","","","","6354606","","","","","6855176","","","","","7996672","","","","","8810718","","","","","13974181","","","","17181477",
"Least developed countries: UN classification","LDC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11417121","","","","","12029805","","","","","10417258","","","","","10098474","","","","","10058220","","","","","12991167","","","","","15971095","","","","19617506",
"Low income","LIC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7854941","","","","","7759396","","","","","6526932","","","","","6879856","","","","","7758831","","","","","8712308","","","","","10785899","","","","13215162",
"Liechtenstein","LIE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10906","","","","","13311","","","","","15483","","","","","18898","","","","","22342","","","","","23799","","","","","25877","","","","27669",
"Sri Lanka","LKA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41561","","","","","40841","","","","","40132","","","","","39526","","","","","38959","","","","","39706","","","","","40254","","","","40698",
"Lower middle income","LMC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26329660","","","","","25004393","","","","","25173655","","","","","24485939","","","","","26806999","","","","","29214885","","","","","30422822","","","","33300365",
"Low & middle income","LMY","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62995670","","","","","58899875","","","","","56904057","","","","","57717851","","","","","63952547","","","","","72537445","","","","","83076120","","","","93824438",
"Lesotho","LSO","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8240","","","","","7204","","","","","6167","","","","","6290","","","","","6414","","","","","9152","","","","","12060","","","","15039",
"Late-demographic dividend","LTE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28893268","","","","","29287787","","","","","29961056","","","","","32258485","","","","","37189593","","","","","41234230","","","","","44332666","","","","50867380",
"Lithuania","LTU","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349258","","","","","273587","","","","","214311","","","","","201209","","","","","160772","","","","","136021","","","","","145184","","","","175194",
"Luxembourg","LUX","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113795","","","","","126106","","","","","139750","","","","","150618","","","","","163142","","","","","248888","","","","","298062","","","","344309",
"Latvia","LVA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","646007","","","","","538093","","","","","430178","","","","","376725","","","","","313786","","","","","265418","","","","","239422","","","","220471",
"Macao SAR, China","MAC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205047","","","","","224929","","","","","240791","","","","","279308","","","","","318506","","","","","376066","","","","","403490","","","","426862",
"St. Martin (French part)","MAF","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54895","","","","","50360","","","","","53034","","","","","56222","","","","","71189","","","","","92424","","","","","102358","","","","111069",
"Monaco","MCO","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20359","","","","","21060","","","","","21787","","","","","21312","","","","","21132","","","","","25983","","","","","26601","","","","27106",
"Moldova","MDA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","533397","","","","","365099","","","","","250134","","","","","174263","","","","","132386","","","","","101730","","","","","77291","","","","188207",
"Madagascar","MDG","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23917","","","","","21177","","","","","23541","","","","","26058","","","","","28905","","","","","32075","","","","","35563","","","","38625",
"Maldives","MDV","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8689","","","","","18510","","","","","27092","","","","","45045","","","","","54659","","","","","64273","","","","","70079","","","","75099",
"Middle East, North Africa, Afghanistan & Pakistan","MEA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23809478","","","","","21666951","","","","","23534513","","","","","26078781","","","","","36164610","","","","","45779367","","","","","46804107","","","","52262903",
"Mexico","MEX","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","701513","","","","","458051","","","","","526172","","","","","701803","","","","","957593","","","","","1088731","","","","","1335154","","","","1726089",
"Marshall Islands","MHL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1158","","","","","1480","","","","","1891","","","","","2417","","","","","3089","","","","","3284","","","","","3298","","","","3309",
"Middle income","MIC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55140729","","","","","51140479","","","","","50377125","","","","","50837995","","","","","56193716","","","","","63825137","","","","","72290221","","","","80609276",
"North Macedonia","MKD","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95142","","","","","109343","","","","","125665","","","","","127667","","","","","129701","","","","","130730","","","","","131311","","","","150902",
"Mali","MLI","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160736","","","","","176187","","","","","189475","","","","","258630","","","","","341078","","","","","420504","","","","","485829","","","","545323",
"Malta","MLT","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15077","","","","","17740","","","","","21521","","","","","24560","","","","","33008","","","","","52642","","","","","114760","","","","199466",
"Myanmar","MMR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133545","","","","","113663","","","","","98011","","","","","83025","","","","","76414","","","","","73309","","","","","76446","","","","79052",
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","MNA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14409323","","","","","11223827","","","","","11736047","","","","","11356404","","","","","15028206","","","","","16345915","","","","","16600403","","","","19347268",
"Montenegro","MNE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73743","","","","","73743","","","","","73743","","","","","73743","","","","","78512","","","","","71719","","","","","70999","","","","92237",
"Mongolia","MNG","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6718","","","","","7424","","","","","8206","","","","","11477","","","","","16062","","","","","19886","","","","","21345","","","","22589",
"Northern Mariana Islands","MNP","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26593","","","","","32376","","","","","40122","","","","","37542","","","","","24168","","","","","21648","","","","","21843","","","","22000",
"Mozambique","MOZ","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122332","","","","","168256","","","","","195702","","","","","268694","","","","","306471","","","","","321794","","","","","338850","","","","353143",
"Mauritania","MRT","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111650","","","","","89562","","","","","57366","","","","","58211","","","","","84920","","","","","166552","","","","","182286","","","","195937",
"Mauritius","MUS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3613","","","","","7493","","","","","15543","","","","","19647","","","","","24836","","","","","28585","","","","","28893","","","","29142",
"Malawi","MWI","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1127724","","","","","241624","","","","","232620","","","","","221661","","","","","217722","","","","","197328","","","","","191362","","","","186719",
"Malaysia","MYS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027572","","","","","1312828","","","","","1613819","","","","","2174308","","","","","3086876","","","","","3513497","","","","","3718696","","","","3806514",
"North America","NAC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27532886","","","","","33396137","","","","","40349936","","","","","45650912","","","","","51000759","","","","","56012072","","","","","58823659","","","","61201057",
"Namibia","NAM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120641","","","","","115372","","","","","135547","","","","","107347","","","","","103826","","","","","101618","","","","","109391","","","","116035",
"New Caledonia","NCL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37673","","","","","43662","","","","","49651","","","","","55405","","","","","61158","","","","","68881","","","","","73141","","","","76738",
"Niger","NER","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115464","","","","","145999","","","","","122260","","","","","124509","","","","","126482","","","","","252998","","","","","348056","","","","449236",
"Nigeria","NGA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","456621","","","","","462999","","","","","487882","","","","","969714","","","","","990494","","","","","1199115","","","","","1308568","","","","1403281",
"Nicaragua","NIC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41421","","","","","26619","","","","","30389","","","","","34919","","","","","37345","","","","","40261","","","","","42167","","","","43757",
"Netherlands","NLD","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1194306","","","","","1397371","","","","","1584638","","","","","1735632","","","","","1850649","","","","","2024059","","","","","2425521","","","","2956518",
"Norway","NOR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","192587","","","","","233302","","","","","292440","","","","","361144","","","","","524601","","","","","746375","","","","","852238","","","","1012404",
"Nepal","NPL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","429974","","","","","690225","","","","","717900","","","","","680729","","","","","581889","","","","","509471","","","","","487564","","","","470719",
"Nauru","NRU","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2815","","","","","2605","","","","","2394","","","","","2253","","","","","906","","","","","1833","","","","","2201","","","","2548",
"New Zealand","NZL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","526369","","","","","594911","","","","","685966","","","","","855017","","","","","956982","","","","","1132201","","","","","1343900","","","","1467989",
"OECD members","OED","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66283709","","","","","77518920","","","","","89056366","","","","","103591383","","","","","118770659","","","","","133996089","","","","","153776291","","","","169275162",
"Oman","OMN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","526784","","","","","538639","","","","","550760","","","","","608416","","","","","803387","","","","","1827972","","","","","1766142","","","","2283366",
"Other small states","OSS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","875304","","","","","802975","","","","","796815","","","","","863102","","","","","973950","","","","","982569","","","","","1115380","","","","1293093",
"Pakistan","PAK","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6208204","","","","","3669308","","","","","4181912","","","","","3174558","","","","","3943681","","","","","3506520","","","","","3276580","","","","4175958",
"Panama","PAN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62744","","","","","70848","","","","","83410","","","","","109461","","","","","157788","","","","","184710","","","","","313165","","","","477749",
"Peru","PER","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48985","","","","","56831","","","","","66103","","","","","77195","","","","","102662","","","","","152562","","","","","1184762","","","","1837219",
"Philippines","PHL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134600","","","","","145980","","","","","157361","","","","","168741","","","","","178147","","","","","131897","","","","","87212","","","","87212",
"Palau","PLW","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2801","","","","","4749","","","","","6310","","","","","6043","","","","","5490","","","","","4937","","","","","5088","","","","5212",
"Papua New Guinea","PNG","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33710","","","","","33526","","","","","26304","","","","","29971","","","","","30425","","","","","30940","","","","","31068","","","","31171",
"Poland","POL","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1127393","","","","","963028","","","","","822627","","","","","724887","","","","","649114","","","","","683663","","","","","738099","","","","1739901",
"Pre-demographic dividend","PRE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11659101","","","","","12926933","","","","","11612863","","","","","12028239","","","","","12115250","","","","","15432498","","","","","17913017","","","","20709728",
"Puerto Rico (US)","PRI","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","321909","","","","","338067","","","","","355038","","","","","352144","","","","","304969","","","","","280494","","","","","247132","","","","223323",
"Korea, Dem. People's Rep.","PRK","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34103","","","","","35143","","","","","36183","","","","","40097","","","","","44010","","","","","48458","","","","","49549","","","","50439",
"Portugal","PRT","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","435782","","","","","532822","","","","","651472","","","","","771184","","","","","762825","","","","","864814","","","","","1001963","","","","1127184",
"Paraguay","PRY","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195884","","","","","186570","","","","","176608","","","","","168243","","","","","160299","","","","","156462","","","","","169567","","","","180837",
"West Bank and Gaza","PSE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288332","","","","","281767","","","","","275202","","","","","274520","","","","","273840","","","","","273163","","","","","272784","","","","272481",
"Pacific island small states","PSS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39024","","","","","42270","","","","","45220","","","","","44866","","","","","44216","","","","","43690","","","","","44411","","","","45081",
"Post-demographic dividend","PST","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71681211","","","","","83197613","","","","","94497887","","","","","108272691","","","","","123388153","","","","","136412241","","","","","150421233","","","","162920236",
"French Polynesia","PYF","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25830","","","","","28360","","","","","30329","","","","","32286","","","","","31640","","","","","30058","","","","","30081","","","","30099",
"Qatar","QAT","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215508","","","","","307661","","","","","439215","","","","","643000","","","","","1409000","","","","","2090000","","","","","2182000","","","","2337000",
"Romania","ROU","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135745","","","","","134970","","","","","134204","","","","","139430","","","","","148107","","","","","212560","","","","","338734","","","","655579",
"Russian Federation","RUS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11524948","","","","","11928927","","","","","11900297","","","","","11667588","","","","","11199727","","","","","9098229","","","","","7297611","","","","7605774",
"Rwanda","RWA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160024","","","","","215735","","","","","347076","","","","","423187","","","","","426901","","","","","514647","","","","","513907","","","","513316",
"South Asia","SAS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8598439","","","","","8549144","","","","","8196657","","","","","7822848","","","","","7670710","","","","","7339031","","","","","7696733","","","","8344814",
"Saudi Arabia","SAU","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4484868","","","","","4853489","","","","","5219382","","","","","6605114","","","","","8976961","","","","","13251622","","","","","13071258","","","","13683841",
"Sudan","SDN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1402896","","","","","1053396","","","","","805086","","","","","546419","","","","","618709","","","","","620523","","","","","1379147","","","","2397113",
"Senegal","SEN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270410","","","","","287654","","","","","231901","","","","","238298","","","","","256092","","","","","266496","","","","","274929","","","","281867",
"Singapore","SGP","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","729377","","","","","993616","","","","","1319433","","","","","1494527","","","","","2160350","","","","","2535340","","","","","2589107","","","","2841665",
"Solomon Islands","SLB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4226","","","","","4178","","","","","3981","","","","","3271","","","","","2760","","","","","2585","","","","","2520","","","","2469",
"Sierra Leone","SLE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222148","","","","","98516","","","","","97974","","","","","146227","","","","","79265","","","","","58830","","","","","53746","","","","49997",
"El Salvador","SLV","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47360","","","","","39537","","","","","31713","","","","","36029","","","","","40342","","","","","42059","","","","","42767","","","","43342",
"San Marino","SMR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3310","","","","","3659","","","","","4045","","","","","4218","","","","","4880","","","","","5195","","","","","5543","","","","5838",
"Somalia, Fed. Rep.","SOM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","478294","","","","","19527","","","","","20097","","","","","20768","","","","","48106","","","","","40990","","","","","58590","","","","77972",
"Serbia","SRB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1064614","","","","","1543744","","","","","1419951","","","","","1078633","","","","","901044","","","","","797595","","","","","733091","","","","712550",
"Sub-Saharan Africa (excluding high income)","SSA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14131722","","","","","14944381","","","","","13758406","","","","","14945270","","","","","15868886","","","","","19888395","","","","","22168338","","","","25116247",
"South Sudan","SSD","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","652365","","","","","652365","","","","","652365","","","","","652365","","","","","230732","","","","","844112","","","","","882252","","","","914001",
"Sub-Saharan Africa","SSF","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15010768","","","","","15428241","","","","","14076421","","","","","15125040","","","","","16107384","","","","","20698560","","","","","23056558","","","","26297963",
"Small states","SST","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1099751","","","","","1052988","","","","","1074938","","","","","1172247","","","","","1310613","","","","","1340384","","","","","1543789","","","","1796017",
"Sao Tome and Principe","STP","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5582","","","","","4936","","","","","4365","","","","","3433","","","","","2700","","","","","2394","","","","","2139","","","","1955",
"Suriname","SUR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18083","","","","","22320","","","","","27506","","","","","33662","","","","","39713","","","","","43127","","","","","47801","","","","51902",
"Slovak Republic","SVK","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41295","","","","","69323","","","","","116376","","","","","130491","","","","","146319","","","","","177624","","","","","197161","","","","323991",
"Slovenia","SVN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178077","","","","","174419","","","","","214508","","","","","217218","","","","","253786","","","","","237616","","","","","277964","","","","315122",
"Sweden","SWE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","784283","","","","","944802","","","","","1022156","","","","","1126971","","","","","1372074","","","","","1638195","","","","","2033902","","","","2272158",
